Variable,Table,Key,Dataset,MMRF Variable Name,Description,HIPAA or Other Identified Data,Data Type,MMRF Values,CoMMpass Note,caDSR,Data Standard,CoMMpass Source Table Variable,CoMMpass Subcohort,Additional Information,Constraint,GDC Variable,GDC Values,GDC Required,,
1,project,primary,commpass,project_id,The project's source name that is used as an unique primary key for the project table.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project.",not applicable,not applicable,Not applicable; represents the MMRF CoMMpass study.,not applicable,,not null,project_id,not applicable,yes,,
2,project,no,commpass,dbgap_accession_number,The dbgap accession number for the project.,no,string,For CoMMpass: phs000748,The unique identifier assigned for a study in the National Institutes of Health's (NIH) Database of Genotypes and Phenotypes (dbGaP) ,not applicable,not applicable,https://portal.gdc.cancer.gov/projects/MMRF-COMMPASS,not applicable,,not null,dbgap_accession_number,not applicable,yes,,
3,project,no,commpass,project_full_name,The project's full name as specified by the protocol. ,no,string,For CoMMpass: Relating Clinical Outcomes in Multiple Myeloma to Personal Assessment of Genetic Profile,"The MMRF CoMMpass project will use ""Relating Clinical Outcomes in Multiple Myeloma to Personal Assessment of Genetic Profile"" as the project's full name.",,,,not applicable,,not null,name,,,,
4,project,no,commpass,center_full_name,The project's sponsor's full name,no,string,Multiple Myeloma Research Foundation,"The MMRF CoMMpass project will use ""Multiple Myeloma Research Foundation"" as the sponsor's name.",,,,not applicable,,not null,,,yes,,
5,project,no,commpass,disease_type,"Body site in which the multiple myeloma originated; data field part of GDC model. All MMRF CoMMpass subjects have ""multiple_myeloma"" included as  disease_type rather than  the more general term ""plasma cell tumor"" as specified by the GDC.",no,enum,multiple_myeloma,"Due to the specific nature of the interests in multiple myeloma and its precursor conditions, the MMRF will use more specific disease types than those specified from the GDC.",6161017,World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O),"Applied to conform to GDC. All MMRF CoMMpass subjects have ""multiple_myeloma"" included as  disease_type.",not applicable,MMRF created for final dataset; every patient has the same value.,not null,disease_type,plasma_cell_tumor,yes,,
6,project,no,commpass,protocol_number,The number given to the protocol by the Internal Review Board.,no,string,mmrf-11-001,"For the CoMMpass study, the project information referenced for  the overall project will correspond to this protocol rather than the ancillary FORTE study. ",,ClinicalTrials.gov | https://clinicaltrials.gov/study/NCT01454297,,not applicable,,not null,,,not_applicable,,
7,project,no,commpass,protocol_approval_date,The date that the first version of the protocol was approved by an Internal Review Board.,no,date,5/3/2011,,,,,not applicable,,not null,,,not_applicable,,
8,project,no,commpass,protocol_approval_year,The year component of the Informed Consent approval date [protocol_approval_date].,no,numeric,2011,,,,,not applicable,,,,,not_applicable,,
9,project,no,commpass,sub_cohorts,Indicator that the project had more than one cohort contributing data. CoMMpass had two cohorts that were combined into the final cohort.,no,boolean,yes no,"For the CoMMpass study, there were two cohorts.",not applicable,,,not applicable,MMRF created for final dataset; every patient has the same value.,not null,,,not_applicable,,
10,project,no,commpass,clinicaltrials.gov_id,"The unique identification code given to each clinical study upon registration at ClinicalTrials.gov. The format is ""NCT"" followed by an 8-digit number.",no,string,nct01454297,"It is important to note that this project including a  subcohort of patient data from FORTE, the project is filed under the CoMMpass NCT number.",not applicable,ClinicalTrials.gov,ClinicalTrials.gov | https://clinicaltrials.gov/study/NCT01454297,not applicable,Data element from ClinicalTrials.gov for the NCT01454297 since it is the major study responsible for data and data management.,,,,not_applicable,,
